octave,key.color,key.color.number,key.number,notes,viz.x
0,white,1,1,A,1
0,black,1,2,A# Bb,1.75
0,white,2,3,B,2
1,white,3,4,C,3
1,black,2,5,C# Db,3.35
1,white,4,6,D,4
1,black,3,7,D# Eb,4.65
1,white,5,8,E,5
1,white,6,9,F,6
1,black,4,10,F# Gb,6.25
1,white,7,11,G,7
1,black,5,12,G# Ab,7.5
1,white,8,13,A,8
1,black,6,14,A# Bb,8.75
1,white,9,15,B,9
2,white,10,16,C,10
2,black,7,17,C# Db,10.35
2,white,11,18,D,11
2,black,8,19,D# Eb,11.65
2,white,12,20,E,12
2,white,13,21,F,13
2,black,9,22,F# Gb,13.25
2,white,14,23,G,14
2,black,10,24,G# Ab,14.5
2,white,15,25,A,15
2,black,11,26,A# Bb,15.75
2,white,16,27,B,16
3,white,17,28,C,17
3,black,12,29,C# Db,17.35
3,white,18,30,D,18
3,black,13,31,D# Eb,18.65
3,white,19,32,E,19
3,white,20,33,F,20
3,black,14,34,F# Gb,20.25
3,white,21,35,G,21
3,black,15,36,G# Ab,21.5
3,white,22,37,A,22
3,black,16,38,A# Bb,22.75
3,white,23,39,B,23
4,white,24,40,C,24
4,black,17,41,C# Db,24.35
4,white,25,42,D,25
4,black,18,43,D# Eb,25.65
4,white,26,44,E,26
4,white,27,45,F,27
4,black,19,46,F# Gb,27.25
4,white,28,47,G,28
4,black,20,48,G# Ab,28.5
4,white,29,49,A,29
4,black,21,50,A# Bb,29.75
4,white,30,51,B,30
5,white,31,52,C,31
5,black,22,53,C# Db,31.35
5,white,32,54,D,32
5,black,23,55,D# Eb,32.65
5,white,33,56,E,33
5,white,34,57,F,34
5,black,24,58,F# Gb,34.25
5,white,35,59,G,35
5,black,25,60,G# Ab,35.5
5,white,36,61,A,36
5,black,26,62,A# Bb,36.75
5,white,37,63,B,37
6,white,38,64,C,38
6,black,27,65,C# Db,38.35
6,white,39,66,D,39
6,black,28,67,D# Eb,39.65
6,white,40,68,E,40
6,white,41,69,F,41
6,black,29,70,F# Gb,41.25
6,white,42,71,G,42
6,black,30,72,G# Ab,42.5
6,white,43,73,A,43
6,black,31,74,A# Bb,43.75
6,white,44,75,B,44
7,white,45,76,C,45
7,black,32,77,C# Db,45.35
7,white,46,78,D,46
7,black,33,79,D# Eb,46.65
7,white,47,80,E,47
7,white,48,81,F,48
7,black,34,82,F# Gb,48.25
7,white,49,83,G,49
7,black,35,84,G# Ab,49.5
7,white,50,85,A,50
7,black,36,86,A# Bb,50.75
7,white,51,87,B,51
8,white,52,88,C,52
