key.color,key.number,key.color.number,notes,viz.x
black,2,1,A♯ B♭,1.8
black,5,2,C♯ D♭,3.2
black,7,3,D♯ E♭,4.8
black,10,4,F♯ G♭,6.2
black,12,5,G♯ A♭,7.5
black,14,6,A♯ B♭,8.8
black,17,7,C♯ D♭,10.2
black,19,8,D♯ E♭,11.8
black,22,9,F♯ G♭,13.2
black,24,10,G♯ A♭,14.5
black,26,11,A♯ B♭,15.8
black,29,12,C♯ D♭,17.2
black,31,13,D♯ E♭,18.8
black,34,14,F♯ G♭,20.2
black,36,15,G♯ A♭,21.5
black,38,16,A♯ B♭,22.8
black,41,17,C♯ D♭,24.2
black,43,18,D♯ E♭,25.8
black,46,19,F♯ G♭,27.2
black,48,20,G♯ A♭,28.5
black,50,21,A♯ B♭,29.8
black,53,22,C♯ D♭,31.2
black,55,23,D♯ E♭,32.8
black,58,24,F♯ G♭,34.2
black,60,25,G♯ A♭,35.5
black,62,26,A♯ B♭,36.8
black,65,27,C♯ D♭,38.2
black,67,28,D♯ E♭,39.8
black,70,29,F♯ G♭,41.2
black,72,30,G♯ A♭,42.5
black,74,31,A♯ B♭,43.8
black,77,32,C♯ D♭,45.2
black,79,33,D♯ E♭,46.8
black,82,34,F♯ G♭,48.2
black,84,35,G♯ A♭,49.5
black,86,36,A♯ B♭,50.8
white,1,1,A,1
white,3,2,B,2
white,4,3,C,3
white,6,4,D,4
white,8,5,E,5
white,9,6,F,6
white,11,7,G,7
white,13,8,A,8
white,15,9,B,9
white,16,10,C,10
white,18,11,D,11
white,20,12,E,12
white,21,13,F,13
white,23,14,G,14
white,25,15,A,15
white,27,16,B,16
white,28,17,C,17
white,30,18,D,18
white,32,19,E,19
white,33,20,F,20
white,35,21,G,21
white,37,22,A,22
white,39,23,B,23
white,40,24,C,24
white,42,25,D,25
white,44,26,E,26
white,45,27,F,27
white,47,28,G,28
white,49,29,A,29
white,51,30,B,30
white,52,31,C,31
white,54,32,D,32
white,56,33,E,33
white,57,34,F,34
white,59,35,G,35
white,61,36,A,36
white,63,37,B,37
white,64,38,C,38
white,66,39,D,39
white,68,40,E,40
white,69,41,F,41
white,71,42,G,42
white,73,43,A,43
white,75,44,B,44
white,76,45,C,45
white,78,46,D,46
white,80,47,E,47
white,81,48,F,48
white,83,49,G,49
white,85,50,A,50
white,87,51,B,51
white,88,52,C,52
